filename,old_label,new_label
10.jpg,Type_2,Type_1
1001.jpg,Type_2,Type_1
1002.jpg,Type_3,Type_2
1004.jpg,Type_2,Type_1
1005.jpg,Type_3,Type_1
101.jpg,Type_1,Type_2
1014.jpg,Type_2,Type_3
102.jpg,Type_2,Type_1
1021.jpg,Type_2,Type_3
1022.jpg,Type_3,Type_2
1023.jpg,Type_1,Type_2
1024.jpg,Type_1,Type_2
1026.jpg,Type_3,Type_2
1036.jpg,Type_2,Type_1
1043.jpg,Type_1,Type_2
1045.jpg,Type_1,Type_2
1047.jpg,Type_2,Type_1
1048.jpg,Type_2,Type_3
1051.jpg,Type_2,Type_3
1054.jpg,Type_2,Type_1
1055.jpg,Type_3,Type_2
1058.jpg,Type_2,Type_1
1060.jpg,Type_2,Type_1
1062.jpg,Type_1,Type_2
1064.jpg,Type_2,Type_3
1066.jpg,Type_2,Type_1
1069.jpg,Type_2,Type_1
107.jpg,Type_1,Type_2
1075.jpg,Type_2,Type_1
1082.jpg,Type_2,Type_3
1084.jpg,Type_3,Type_2
109.jpg,Type_1,Type_3
1091.jpg,Type_2,Type_1
1092.jpg,Type_1,Type_3
1093.jpg,Type_2,Type_1
1096.jpg,Type_1,Type_2
1097.jpg,Type_3,Type_2
1102.jpg,Type_2,Type_3
1108.jpg,Type_3,Type_2
1113.jpg,Type_2,Type_3
1115.jpg,Type_1,Type_2
1121.jpg,Type_2,Type_1
1122.jpg,Type_2,Type_3
1125.jpg,Type_1,Type_2
1135.jpg,Type_2,Type_3
1137.jpg,Type_3,Type_2
1141.jpg,Type_2,Type_1
1143.jpg,Type_2,Type_1
1146.jpg,Type_2,Type_3
1147.jpg,Type_2,Type_3
1155.jpg,Type_1,Type_2
1157.jpg,Type_3,Type_2
116.jpg,Type_2,Type_1
1160.jpg,Type_1,Type_3
1172.jpg,Type_2,Type_3
1176.jpg,Type_1,Type_2
1180.jpg,Type_2,Type_3
1184.jpg,Type_1,Type_2
1192.jpg,Type_1,Type_2
1198.jpg,Type_3,Type_2
1202.jpg,Type_2,Type_3
1206.jpg,Type_2,Type_3
1209.jpg,Type_3,Type_2
1210.jpg,Type_3,Type_2
1213.jpg,Type_3,Type_1
1214.jpg,Type_2,Type_1
1217.jpg,Type_2,Type_1
1219.jpg,Type_2,Type_1
122.jpg,Type_1,Type_2
1224.jpg,Type_2,Type_3
1234.jpg,Type_3,Type_2
1235.jpg,Type_2,Type_3
1236.jpg,Type_2,Type_1
1238.jpg,Type_3,Type_1
1241.jpg,Type_1,Type_2
1250.jpg,Type_2,Type_3
1253.jpg,Type_2,Type_1
1259.jpg,Type_2,Type_1
126.jpg,Type_1,Type_2
1267.jpg,Type_2,Type_1
1268.jpg,Type_1,Type_2
1269.jpg,Type_3,Type_2
1270.jpg,Type_2,Type_3
1276.jpg,Type_2,Type_1
1290.jpg,Type_3,Type_2
1292.jpg,Type_1,Type_2
1300.jpg,Type_2,Type_3
1305.jpg,Type_3,Type_2
1308.jpg,Type_2,Type_3
131.jpg,Type_3,Type_2
1312.jpg,Type_1,Type_2
1313.jpg,Type_2,Type_1
1315.jpg,Type_3,Type_2
1316.jpg,Type_3,Type_2
132.jpg,Type_2,Type_1
1321.jpg,Type_1,Type_2
1322.jpg,Type_1,Type_2
1324.jpg,Type_2,Type_1
1325.jpg,Type_3,Type_1
1327.jpg,Type_3,Type_2
133.jpg,Type_1,Type_3
1334.jpg,Type_2,Type_3
1335.jpg,Type_3,Type_2
1339.jpg,Type_2,Type_1
134.jpg,Type_2,Type_1
1343.jpg,Type_1,Type_2
1345.jpg,Type_2,Type_3
1350.jpg,Type_3,Type_2
1351.jpg,Type_1,Type_2
1352.jpg,Type_3,Type_2
1353.jpg,Type_1,Type_2
1354.jpg,Type_1,Type_2
1355.jpg,Type_3,Type_2
1364.jpg,Type_1,Type_2
1370.jpg,Type_3,Type_1
1373.jpg,Type_1,Type_2
1379.jpg,Type_1,Type_2
138.jpg,Type_2,Type_3
1380.jpg,Type_2,Type_3
1385.jpg,Type_1,Type_2
1390.jpg,Type_1,Type_2
1403.jpg,Type_2,Type_3
1405.jpg,Type_2,Type_1
1410.jpg,Type_1,Type_2
1413.jpg,Type_1,Type_2
1417.jpg,Type_2,Type_1
1418.jpg,Type_2,Type_3
1421.jpg,Type_2,Type_3
1422.jpg,Type_2,Type_1
1432.jpg,Type_1,Type_2
1434.jpg,Type_1,Type_2
1445.jpg,Type_3,Type_1
1450.jpg,Type_1,Type_2
1454.jpg,Type_1,Type_2
1455.jpg,Type_2,Type_1
1457.jpg,Type_1,Type_3
1461.jpg,Type_3,Type_2
1465.jpg,Type_2,Type_1
1467.jpg,Type_2,Type_3
147.jpg,Type_3,Type_2
1470.jpg,Type_1,Type_2
1477.jpg,Type_2,Type_3
1478.jpg,Type_1,Type_2
148.jpg,Type_2,Type_3
1484.jpg,Type_2,Type_3
1486.jpg,Type_1,Type_2
1487.jpg,Type_1,Type_2
1493.jpg,Type_2,Type_1
1496.jpg,Type_1,Type_2
1497.jpg,Type_3,Type_2
1499.jpg,Type_2,Type_1
1503.jpg,Type_2,Type_1
1505.jpg,Type_2,Type_3
1506.jpg,Type_2,Type_1
1511.jpg,Type_3,Type_2
1518.jpg,Type_3,Type_1
1526.jpg,Type_2,Type_1
153.jpg,Type_2,Type_3
1533.jpg,Type_3,Type_2
1535.jpg,Type_3,Type_1
1540.jpg,Type_3,Type_2
1543.jpg,Type_1,Type_2
1545.jpg,Type_1,Type_2
1548.jpg,Type_2,Type_1
1556.jpg,Type_3,Type_1
1568.jpg,Type_2,Type_1
157.jpg,Type_2,Type_1
1572.jpg,Type_1,Type_2
1580.jpg,Type_2,Type_1
1581.jpg,Type_1,Type_2
1584.jpg,Type_1,Type_2
1589.jpg,Type_1,Type_2
1592.jpg,Type_1,Type_2
1598.jpg,Type_2,Type_3
1601.jpg,Type_2,Type_1
1612.jpg,Type_2,Type_1
1613.jpg,Type_2,Type_3
1615.jpg,Type_3,Type_1
162.jpg,Type_1,Type_2
1620.jpg,Type_2,Type_3
1621.jpg,Type_2,Type_3
1625.jpg,Type_1,Type_2
163.jpg,Type_1,Type_2
1636.jpg,Type_1,Type_2
164.jpg,Type_2,Type_1
1665.jpg,Type_1,Type_3
1666.jpg,Type_2,Type_1
1667.jpg,Type_1,Type_2
1670.jpg,Type_3,Type_2
1678.jpg,Type_1,Type_2
1680.jpg,Type_1,Type_3
1683.jpg,Type_2,Type_3
1686.jpg,Type_2,Type_3
1689.jpg,Type_2,Type_3
169.jpg,Type_3,Type_2
1693.jpg,Type_3,Type_2
1694.jpg,Type_2,Type_1
1695.jpg,Type_2,Type_1
1699.jpg,Type_2,Type_3
170.jpg,Type_1,Type_2
1708.jpg,Type_3,Type_2
1713.jpg,Type_2,Type_1
1718.jpg,Type_2,Type_3
172.jpg,Type_1,Type_2
1727.jpg,Type_3,Type_2
1731.jpg,Type_2,Type_3
1732.jpg,Type_2,Type_1
1734.jpg,Type_1,Type_2
174.jpg,Type_3,Type_1
1740.jpg,Type_1,Type_2
1741.jpg,Type_1,Type_3
175.jpg,Type_1,Type_2
1753.jpg,Type_1,Type_2
1768.jpg,Type_1,Type_3
1769.jpg,Type_2,Type_1
177.jpg,Type_2,Type_1
1770.jpg,Type_1,Type_2
1775.jpg,Type_3,Type_1
1781.jpg,Type_2,Type_1
1782.jpg,Type_1,Type_2
1786.jpg,Type_2,Type_3
1787.jpg,Type_2,Type_3
1790.jpg,Type_2,Type_1
1797.jpg,Type_2,Type_1
180.jpg,Type_1,Type_2
1800.jpg,Type_2,Type_1
1801.jpg,Type_2,Type_1
1804.jpg,Type_2,Type_1
1807.jpg,Type_2,Type_1
1818.jpg,Type_1,Type_2
1820.jpg,Type_3,Type_2
1821.jpg,Type_1,Type_2
183.jpg,Type_1,Type_2
1832.jpg,Type_2,Type_1
1834.jpg,Type_2,Type_3
1836.jpg,Type_1,Type_2
1838.jpg,Type_3,Type_2
1842.jpg,Type_2,Type_3
1848.jpg,Type_3,Type_2
1858.jpg,Type_3,Type_2
1866.jpg,Type_2,Type_3
1869.jpg,Type_1,Type_2
1870.jpg,Type_2,Type_3
1874.jpg,Type_1,Type_2
1885.jpg,Type_2,Type_1
1888.jpg,Type_2,Type_3
1891.jpg,Type_2,Type_3
1893.jpg,Type_1,Type_3
1899.jpg,Type_1,Type_3
1901.jpg,Type_2,Type_3
1906.jpg,Type_1,Type_2
1909.jpg,Type_1,Type_2
1915.jpg,Type_3,Type_2
1920.jpg,Type_3,Type_2
1925.jpg,Type_3,Type_2
1939.jpg,Type_2,Type_1
1940.jpg,Type_3,Type_2
1942.jpg,Type_2,Type_3
1946.jpg,Type_3,Type_2
1947.jpg,Type_1,Type_2
1949.jpg,Type_3,Type_1
1953.jpg,Type_2,Type_1
1966.jpg,Type_2,Type_3
1986.jpg,Type_1,Type_2
1988.jpg,Type_3,Type_2
1989.jpg,Type_2,Type_3
1992.jpg,Type_3,Type_2
1995.jpg,Type_2,Type_1
2004.jpg,Type_1,Type_2
2007.jpg,Type_1,Type_2
2008.jpg,Type_3,Type_1
2009.jpg,Type_2,Type_1
2011.jpg,Type_2,Type_1
2012.jpg,Type_2,Type_1
2017.jpg,Type_2,Type_3
2018.jpg,Type_1,Type_2
2021.jpg,Type_3,Type_2
2023.jpg,Type_2,Type_1
2024.jpg,Type_3,Type_2
2031.jpg,Type_2,Type_3
2034.jpg,Type_1,Type_2
2035.jpg,Type_3,Type_2
2042.jpg,Type_3,Type_2
2043.jpg,Type_2,Type_1
205.jpg,Type_2,Type_3
2054.jpg,Type_2,Type_1
2058.jpg,Type_2,Type_3
2061.jpg,Type_3,Type_2
2065.jpg,Type_2,Type_3
2068.jpg,Type_1,Type_2
2069.jpg,Type_3,Type_2
207.jpg,Type_2,Type_3
2075.jpg,Type_1,Type_2
2084.jpg,Type_3,Type_1
2085.jpg,Type_3,Type_1
2086.jpg,Type_3,Type_2
2091.jpg,Type_2,Type_3
2093.jpg,Type_2,Type_1
2096.jpg,Type_3,Type_2
2102.jpg,Type_2,Type_1
2103.jpg,Type_2,Type_1
2105.jpg,Type_1,Type_2
2109.jpg,Type_3,Type_2
2121.jpg,Type_2,Type_1
2126.jpg,Type_1,Type_2
2127.jpg,Type_1,Type_2
2129.jpg,Type_2,Type_3
213.jpg,Type_1,Type_2
2132.jpg,Type_3,Type_2
2134.jpg,Type_2,Type_1
2140.jpg,Type_1,Type_2
2148.jpg,Type_1,Type_2
2149.jpg,Type_2,Type_3
2150.jpg,Type_2,Type_1
2152.jpg,Type_2,Type_1
2153.jpg,Type_2,Type_3
2155.jpg,Type_3,Type_2
2156.jpg,Type_1,Type_2
2160.jpg,Type_1,Type_3
2161.jpg,Type_2,Type_1
2164.jpg,Type_2,Type_1
2166.jpg,Type_2,Type_1
217.jpg,Type_1,Type_2
2176.jpg,Type_2,Type_1
2178.jpg,Type_2,Type_3
218.jpg,Type_1,Type_2
2183.jpg,Type_1,Type_2
2186.jpg,Type_2,Type_3
2187.jpg,Type_2,Type_1
